"player_slug","player_id","player_nickname","player_team","player_position","price_cartoletas","score_mean","score_no_cleansheets_mean","diff_home_away_s","n_games","score_mean_home","score_mean_away","shots_x_mean","fouls_mean","DS_mean","PI_mean","A_mean","I_mean","FS_mean","FF_mean","G_mean","DD_mean","status","price_diff","last_points"
"carlinhos",87273,"Carlinhos","267","mei",4.16,-0.1,11.8,0,1,-0.1,0,3,2,5,15,1,0,3,2,0,0,"Nulo",-0.16,-0.1
"tiago-orobo",87477,"Tiago Orobó","356","ata",2.05,1.9,2,0,1,1.9,0,2,3,2,5,0,0,0,1,0,0,"Nulo",0.35,1.9
"vitor-bueno",87552,"Vitor Bueno","276","mei",7.64,2.8,17,0,1,2.8,0,6,4,7,34,0,0,9,4,1,0,"Nulo",-1.21,2.8
"yago-felipe",87747,"Yago Felipe","266","mei",3.71,4.8,7.7,0,1,4.8,0,3,7,5,16,0,0,10,2,0,0,"Nulo",0.59,4.8
"arrascaeta",87863,"Arrascaeta","262","mei",18.54,2.8,51.4,0,1,0,2.8,16,8,16,86,1,0,8,6,3,0,"Dúvida",-0.25,2.8
"matheus-vargas",87929,"Matheus Vargas","373","mei",3.25,3.8,5.1,0,1,0,3.8,2,2,3,9,0,0,4,1,0,0,"Dúvida",0.67,3.8
"junior-alonso",88312,"Júnior Alonso","282","zag",11.05,-0.1,18.8,0,1,0,-0.1,6,12,20,46,1,0,0,4,0,0,"Provável",-0.78,-0.1
"gabriel-dias",88368,"Gabriel Dias","356","lat",7.57,5.8,10.8,0,1,5.8,0,1,7,8,20,1,1,6,1,0,0,"Provável",0.94,5.8
"aderlan",88423,"Aderlan","Bragantino","lat",9.05,2.2,20.3,0,1,0,0,5,20,32,86,0,1,9,4,0,0,"Provável",0.16,2.2
"marlon",88427,"Marlon","356","mei",2.29,-0.5,-1.2,0,1,-0.5,0,1,9,3,5,0,0,0,1,0,0,"Nulo",-0.01,-0.5
"luan-polli",88916,"Luan Polli ","292","gol",3.42,-3.6,-5.1,0,1,0,-3.6,0,1,0,51,0,0,0,0,0,2,"Provável",-0.5,-3.6
"iago-maidana",89226,"Iago Maidana","292","zag",5.3,-1.5,18.5,0,1,0,-1.5,7,14,11,59,0,0,6,4,2,0,"Provável",-0.57,-1.5
"gerson",89256,"Gerson","262","mei",9.07,0.2,13.9,0,1,0,0.2,4,21,17,23,0,0,22,4,0,0,"Suspenso",-0.33,0.2
"matheus-sales",89285,"Matheus Sales","294","mei",4.51,4.4,13.5,0,1,0,4.4,0,8,13,20,0,0,13,0,0,0,"Provável",0.92,4.4
"igor-rabello",89493,"Igor Rabello","282","zag",12.35,1,15.7,0,1,0,1,2,6,7,23,0,0,6,0,1,0,"Dúvida",-1.14,1
"thiago-maia",89637,"Thiago Maia","262","mei",5.44,2.6,4.7,0,1,0,2.6,1,7,8,20,0,0,2,0,0,0,"Provável",0.27,2.6
"gustavo-ferrareis",89815,"Gustavo Ferrareis","373","mei",8.77,1.8,25.2,0,1,0,1.8,10,17,12,43,1,2,15,7,1,0,"Provável",0.33,1.8
"dodi",89883,"Dodi","266","mei",11.16,1.7,43.1,0,1,1.7,0,8,15,33,31,0,0,14,3,1,0,"Provável",0.04,1.7
"david",90309,"David","356","ata",2.83,-1.2,6.6,0,1,-1.2,0,8,25,10,28,1,5,12,8,0,0,"Provável",-0.32,-1.2
"moises",90444,"Moisés","285","lat",11.93,6.3,7.9,0,1,6.3,0,5,23,20,80,1,1,0,4,0,0,"Dúvida",1,6.3
"yuri-lima",90569,"Yuri Lima","266","mei",1.8,2.1,6.6,0,1,2.1,0,5,14,14,27,0,0,4,3,0,0,"Provável",-0.13,2.1
"mateus-claus",90590,"Mateus Claus","265","gol",3.77,12,15.8,0,1,12,0,0,0,0,2,0,0,0,0,0,6,"Provável",2.12,12
"luiz-fernando",90715,"Luiz Fernando ","284","ata",6.13,4,15.1,0,1,0,4,6,0,2,6,0,0,1,2,1,0,"Provável",0.81,4
"jean",90933,"Jean","373","gol",8.58,9.4,20.2,0,1,0,9.4,1,2,0,50,0,0,1,0,0,12,"Provável",2.28,9.4
"eder",91203,"Éder ","373","zag",3.28,-0.8,0.9,0,1,0,-0.8,1,8,5,38,0,0,8,0,0,0,"Provável",-0.29,-0.8
"leandro-barcia",91242,"Leandro Barcia","292","ata",5.8,1.3,8.6,0,1,0,1.3,3,6,3,19,0,1,5,1,1,0,"Provável",-1.15,1.3
"rodrigues",91251,"Rodrigues","284","zag",2.42,5,0.3,0,1,0,5,0,0,1,7,0,0,0,0,0,0,"Dúvida",0.81,5
"lucas-perri",91260,"Lucas Perri","276","gol",1.1,-2,-2,0,1,-2,0,0,1,0,0,0,0,0,0,0,0,"Nulo",-0.9,-2
"rony",91607,"Rony","275","ata",9.52,-0.5,7.1,0,1,0,-0.5,5,16,9,27,0,3,14,3,0,0,"Nulo",-0.56,-0.5
"adryelson",91664,"Adryelson","292","zag",3.05,1.7,3.9,0,1,0,1.7,2,13,11,29,0,0,6,1,0,0,"Provável",0.2,1.7
"felipe",91733,"Felipe","356","mei",4.18,-3.5,18.7,0,1,-3.5,0,3,18,25,41,0,0,17,2,0,0,"Suspenso",-1.01,-3.5
"david-duarte",91772,"David Duarte","290","zag",3.42,4.2,6.8,0,1,4.2,0,2,0,5,8,0,0,2,2,0,0,"Provável",0.51,4.2
"kevin",91888,"Kevin ","263","lat",3.51,2.4,9.8,0,1,0,2.4,2,3,12,47,0,0,4,1,0,0,"Provável",-0.15,2.4
"juninho",92182,"Juninho","265","zag",8.8,1.9,19.5,0,1,1.9,0,3,1,11,25,0,0,3,1,1,0,"Provável",0.25,1.9
"ravanelli",92193,"Ravanelli","293","mei",4.61,8.5,8.5,0,1,8.5,0,1,0,0,0,0,0,1,0,1,0,"Nulo",2.61,8.5
"raul",92496,"Raul","Bragantino","mei",7.99,11.6,11.6,0,1,0,0,1,1,4,4,0,0,1,0,1,0,"Nulo",0.99,11.6
"claudinho",92630,"Claudinho","Bragantino","ata",12.68,-4.1,44.3,0,1,0,0,13,7,16,78,1,1,14,6,3,0,"Provável",-2.14,-4.1
"renato-kayzer",92696,"Renato Kayzer","373","ata",7.81,16.6,28.7,0,1,0,16.6,9,9,1,9,0,2,9,4,3,0,"Provável",3.51,16.6
"mateus-vital",93108,"Mateus Vital","264","mei",4.45,0.4,2.8,0,1,0.4,0,1,1,1,9,0,0,7,0,0,0,"Nulo",0.25,0.4
"jobson",93377,"Jobson","277","mei",3.83,0.2,6.2,0,1,0.2,0,2,12,15,44,0,1,7,2,0,0,"Nulo",-0.18,0.2
"bruno-tubarao",93637,"Bruno Tubarão","Bragantino","mei",1.88,1.1,5.3,0,1,0,0,3,7,8,20,0,0,3,2,0,0,"Dúvida",0.3,1.1
"andrey",93787,"Andrey","267","mei",6.48,4.8,26.1,0,1,4.8,0,3,22,24,32,2,0,16,2,0,0,"Nulo",0.04,4.8
"marlon-freitas",93790,"Marlon Freitas","373","mei",5.45,0.3,14,0,1,0,0.3,10,11,16,51,0,0,7,6,0,0,"Contundido",-0.35,0.3
"daniel",93791,"Daniel","265","mei",3.95,-0.2,14.1,0,1,-0.2,0,3,7,6,20,0,0,8,2,1,0,"Provável",-0.04,-0.2
"marcos-junior",93893,"Marcos Júnior","267","mei",2.66,2.4,1.7,0,1,2.4,0,0,1,2,3,0,0,1,0,0,0,"Provável",0.01,2.4
"ribamar",94068,"Ribamar","267","ata",4.08,0.9,4.7,0,1,0.9,0,2,6,1,5,0,2,1,0,1,0,"Nulo",0.26,0.9
"diego-pituca",94156,"Diego Pituca","277","mei",8.07,4.2,25.7,0,1,4.2,0,4,5,24,38,0,1,12,2,0,0,"Provável",0.57,4.2
"luiz-otavio",94269,"Luiz Otávio","263","mei",2.11,-0.1,3.7,0,1,0,-0.1,0,2,4,8,0,0,3,0,0,0,"Nulo",-0.07,-0.1
"william-oliveira",94297,"William Oliveira","354","mei",1.68,-0.8,0.8,0,1,0,-0.8,3,11,5,6,0,0,8,3,0,0,"Suspenso",-0.42,-0.8
"matheus-babi",94444,"Matheus Babi","263","ata",6.45,0.2,26.6,0,1,0,0.2,8,18,12,28,1,5,25,5,1,0,"Dúvida",-0.27,0.2
"oliveira",94514,"Oliveira","373","zag",2.03,0.3,-0.1,0,1,0,0.3,0,0,0,6,0,0,1,0,0,0,"Nulo",-0.12,0.3
"jonatan-gomez",94857,"Jonatan Gomez","292","mei",10.95,0,23.2,0,1,0,0,13,7,5,32,0,1,14,10,1,0,"Dúvida",-0.51,0
"marco-antonio",94975,"Marco Antônio","265","mei",3.35,0.5,14.5,0,1,0.5,0,1,1,1,5,1,0,3,0,1,0,"Nulo",-0.63,0.5
"nicolas",95127,"Nicolas","373","lat",7.01,5.9,16.1,0,1,0,5.9,8,10,16,105,1,0,6,5,0,0,"Provável",0.88,5.9
"jefferson",95220,"Jefferson","290","lat",5.34,0.6,9.6,0,1,0.6,0,2,6,8,42,0,1,4,1,1,0,"Provável",-0.02,0.6
"matheus-jesus",95335,"Matheus Jesus","Bragantino","mei",4.69,1.1,7.8,0,1,0,0,9,16,7,36,1,0,7,6,0,0,"Provável",0.16,1.1
"orejuela",95352,"Orejuela","284","lat",9.96,10.9,12.8,0,1,0,10.9,8,17,17,96,0,0,12,5,0,0,"Dúvida",2.23,10.9
"renteria",95356,"Rentería","263","mei",5.62,0.6,0.6,0,1,0,0.6,1,1,0,1,0,0,0,0,0,0,"Nulo",-1.38,0.6
"gregore",95464,"Gregore","265","mei",5.69,-1.5,0.8,0,1,-1.5,0,3,21,21,26,0,0,2,3,0,0,"Suspenso",-0.28,-1.5
"aguilar",95494,"Aguilar","293","zag",6.4,5,2.9,0,1,5,0,2,2,8,6,0,0,2,1,0,0,"Provável",0.75,5
"marcelo-benevenuto",95638,"Marcelo Benevenuto","263","zag",7.06,5.4,10.7,0,1,0,5.4,4,6,12,19,0,0,6,3,0,0,"Provável",1.07,5.4
"artur",95799,"Artur","Bragantino","ata",12.74,5.5,27.5,0,1,0,0,16,9,7,80,2,2,25,10,0,0,"Provável",0.84,5.5
"lima",96340,"Lima","354","mei",5.09,1.2,11.6,0,1,0,1.2,3,8,8,18,0,1,8,0,1,0,"Nulo",0.2,1.2
"charles",96342,"Charles","354","mei",5.88,1.4,22.3,0,1,0,1.4,3,18,27,35,1,0,3,2,0,0,"Provável",-0.21,1.4
"quintero",96382,"Quintero","356","zag",2.48,4.5,-4.9,0,1,4.5,0,2,8,5,15,0,0,3,2,0,0,"Provável",1,4.5
"allan",96652,"Allan","282","mei",6.35,-0.3,10.9,0,1,0,-0.3,7,14,17,56,0,0,4,6,0,0,"Provável",-0.04,-0.3
"saravia",96725,"Saravia","285","lat",20.88,10.6,37.1,0,1,10.6,0,3,12,34,47,1,0,15,2,0,0,"Nulo",1.58,10.6
"arthur-gomes",96966,"Arthur Gomes","277","ata",5.07,7.8,12.6,0,1,7.8,0,3,1,2,14,0,0,5,1,1,0,"Nulo",0.98,7.8
"dudu",97133,"Dudu","373","lat",3.53,2.2,7.8,0,1,0,2.2,2,11,18,62,0,0,8,1,0,0,"Provável",0.01,2.2
"janderson",97245,"Janderson","373","ata",3.7,1.9,4.6,0,1,0,1.9,3,5,5,22,0,0,3,2,0,0,"Provável",0.25,1.9
"gustavo-mosquito",97450,"Gustavo Mosquito","264","ata",2.97,0.3,15.6,0,1,0.3,0,7,4,4,20,0,0,4,4,1,0,"Dúvida",-0.06,0.3
"leo-ortiz",97867,"Léo Ortiz","Bragantino","zag",7.04,1.4,22,0,1,0,0,4,9,17,28,0,0,6,2,1,0,"Provável",0.16,1.4
"matheus-bahia",97899,"Matheus Bahia","265","lat",0.77,-0.8,-0.8,0,1,-0.8,0,0,3,1,8,0,0,1,0,0,0,"Nulo",-0.23,-0.8
"erick",98022,"Erick","293","mei",5.1,5.6,15.4,0,1,5.6,0,3,5,11,13,1,0,0,1,0,0,"Dúvida",0.69,5.6
"gabriel-batista",98333,"Gabriel Batista","262","gol",1.56,-2.6,-2.7,0,1,0,-2.6,0,0,0,12,0,0,1,0,0,2,"Provável",-0.95,-2.6
"kanu",98484,"Kanu","263","zag",4.65,1.6,14.5,0,1,0,1.6,4,4,9,21,0,0,12,3,0,0,"Provável",-0.36,1.6
"savarino",98672,"Savarino","282","ata",3.47,-0.7,2.6,0,1,0,-0.7,6,8,2,36,0,4,7,2,0,0,"Nulo",0.24,-0.7
"fernando-pacheco",98740,"Fernando Pacheco","266","ata",2.66,0.5,0.6,0,1,0.5,0,1,3,2,7,0,2,2,1,0,0,"Provável",0.06,0.5
"marquinhos",98765,"Marquinhos","282","ata",4.3,-0.7,14.5,0,1,0,-0.7,4,9,10,28,1,3,5,2,0,0,"Nulo",-0.31,-0.7
"leo-natel",98952,"Léo Natel","264","ata",4.37,0,20.7,0,1,0,0,7,11,10,24,1,1,4,4,1,0,"Dúvida",-0.77,0
"vina",98974,"Viña","275","lat",8.44,7.9,19.4,0,1,0,7.9,3,2,19,35,0,1,6,3,0,0,"Dúvida",0.98,7.9
"lucas-braga",99119,"Lucas Braga","277","ata",1.89,0.3,2.5,0,1,0.3,0,2,12,4,16,1,1,6,2,0,0,"Provável",0.66,0.3
"michael",99392,"Michael","262","ata",6.02,0.9,10.3,0,1,0,0.9,10,6,2,19,1,0,1,7,0,0,"Dúvida",-0.64,0.9
"brenner",99789,"Brenner","276","ata",4.14,-1.4,22.3,0,1,-1.4,0,6,5,2,10,1,3,3,2,2,0,"Provável",-2.36,-1.4
"igor-gomes",100084,"Igor Gomes","276","mei",3.22,0.8,1.5,0,1,0.8,0,2,11,6,24,0,0,5,0,0,0,"Provável",-0.01,0.8
"lucas-venuto",100290,"Lucas Venuto","292","ata",2.2,0,6,0,1,0,0,1,2,1,20,0,0,10,0,0,0,"Nulo",-0.07,0
"paulinho-boia",100333,"Paulinho Bóia","276","ata",5.43,2.4,24.9,0,1,2.4,0,10,8,10,22,0,3,18,5,0,0,"Provável",0.24,2.4
"matheus-henrique",100742,"Matheus Henrique","284","mei",5.32,-4.8,-1.9,0,1,0,-4.8,1,12,9,37,0,0,11,1,0,0,"Suspenso",-1.35,-4.8
"bissoli",100762,"Bissoli","293","ata",2.18,-0.1,0.3,0,1,-0.1,0,1,3,1,4,0,2,2,0,0,0,"Provável",-0.24,-0.1
"gabriel-sara",100763,"Gabriel Sara","276","mei",1.64,1,1.3,0,1,1,0,6,10,5,38,0,2,4,4,0,0,"Nulo",0.1,1
"ronald",100969,"Ronald","356","mei",1.37,-3,2.9,0,1,-3,0,1,5,5,3,0,0,2,0,0,0,"Provável",-1.27,-3
"ygor-catatau",100977,"Ygor Catatau","267","ata",1.95,-0.1,5.1,0,1,-0.1,0,0,4,2,9,1,1,3,0,0,0,"Nulo",-0.12,-0.1
"nonato",100987,"Nonato","285","mei",4.62,1.5,7.3,0,1,1.5,0,1,6,9,9,0,0,5,0,0,0,"Dúvida",-0.53,1.5
"sarrafiore",101315,"Sarrafiore","285","mei",2.95,2.9,4,0,1,2.9,0,4,1,0,11,0,0,4,3,0,0,"Nulo",0.42,2.9
"isaque",101483,"Isaque","284","ata",5.2,3.3,24.8,0,1,0,3.3,12,5,7,24,0,1,8,5,1,0,"Provável",-0.53,3.3
"hugo-moura",101594,"Hugo Moura","294","mei",2.41,0.9,1.3,0,1,0,0.9,2,4,2,8,0,0,4,2,0,0,"Dúvida",0.14,0.9
"ramon",101597,"Ramon","262","lat",1.54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Nulo",-0.46,0
"alex",101600,"Alex","277","zag",2.76,1.9,3.1,0,1,1.9,0,0,1,4,9,0,0,1,0,0,0,"Provável",-0.3,1.9
"felipe-jonatan",101708,"Felipe Jonatan","277","lat",11.83,2.3,41.9,0,1,2.3,0,8,16,33,68,0,0,14,5,2,0,"Suspenso",-1.86,2.3
"alerrandro",101715,"Alerrandro","Bragantino","ata",9.85,0.4,38.5,0,1,0,0,13,4,4,19,0,3,9,6,3,0,"Dúvida",-0.74,0.4
"bruninho",101716,"Bruninho","292","mei",4.8,3.6,13.5,0,1,0,3.6,8,3,5,15,0,0,2,3,0,0,"Nulo",0.4,3.6
"marrony",101717,"Marrony","282","ata",10.21,0.3,30.5,0,1,0,0.3,12,9,6,10,0,0,2,2,2,0,"Provável",-0.08,0.3
"miranda",101720,"Miranda","267","zag",3.56,1.5,2.5,0,1,1.5,0,0,4,6,25,0,0,5,0,0,0,"Nulo",-0.6,1.5
"matheuzinho",101727,"Matheuzinho","262","lat",2.21,0.9,7.2,0,1,0,0.9,2,3,3,7,1,0,1,0,0,0,"Dúvida",-0.54,0.9
"diego",101728,"Diego ","276","zag",2.35,3.2,1.1,0,1,3.2,0,2,9,7,20,0,0,1,2,0,0,"Provável",0.55,3.2
"gonzalo-carneiro",101796,"Gonzalo Carneiro","276","ata",3.01,-1,5.8,0,1,-1,0,0,2,2,2,1,0,0,0,0,0,"Nulo",-1.08,-1
"matheus-bueno",101832,"Matheus Bueno","294","mei",1.37,-0.9,5.7,0,1,0,-0.9,2,10,9,28,0,0,8,1,0,0,"Provável",-0.15,-0.9
"marquinhos",102292,"Marquinhos","292","ata",6.77,3.2,34.8,0,1,0,3.2,5,13,18,44,0,0,39,4,1,0,"Provável",-0.51,3.2
"caio-paulista",102318,"Caio Paulista","266","ata",3.31,0.9,4.3,0,1,0.9,0,0,2,5,2,0,0,1,0,0,0,"Nulo",-0.26,0.9
"alyson",102330,"Alyson","354","lat",1.88,-4.7,-1.6,0,1,0,-4.7,1,7,5,24,0,2,2,1,0,0,"Nulo",-1.71,-4.7
"miguel-figueira",102565,"Miguel Figueira","290","mei",1.38,-1.5,3.2,0,1,-1.5,0,1,10,3,11,1,0,4,1,0,0,"Provável",-0.47,-1.5
"helinho",102598,"Helinho","276","ata",4.08,5.4,7.7,0,1,5.4,0,0,0,3,8,1,0,1,0,0,0,"Nulo",0.68,5.4
"rhuan",102958,"Rhuan","263","ata",2.35,2.2,9.4,0,1,0,2.2,1,1,2,9,1,1,7,1,0,0,"Dúvida",-0.31,2.2
"mateus-goncalves",103076,"Mateus Gonçalves","354","ata",7.74,-0.1,24.7,0,1,0,-0.1,11,4,11,29,0,0,2,6,1,0,"Nulo",-0.22,-0.1
"ederson",103099,"Éderson","264","mei",5.28,1.2,14.5,0,1,1.2,0,2,9,16,20,0,0,6,1,0,0,"Nulo",0.05,1.2
"yuri-cesar",103446,"Yuri César ","356","ata",4.72,1,24.2,0,1,1,0,9,9,6,15,1,2,10,6,1,0,"Nulo",0.01,1
"daniel-bessa",103591,"Daniel Bessa","290","mei",6.79,-1,26.7,0,1,-1,0,8,12,13,36,0,0,5,3,2,0,"Provável",-0.43,-1
"marcos-paulo",103645,"Marcos Paulo","266","ata",5.44,-0.1,11.1,0,1,-0.1,0,3,3,8,28,1,1,1,3,0,0,"Nulo",-0.18,-0.1
"gabriel-veron",103764,"Gabriel Veron","275","ata",6.78,8.5,21,0,1,0,8.5,2,2,1,0,1,0,0,0,2,0,"Dúvida",0.05,8.5
"gabriel-menino",103767,"Gabriel Menino","275","mei",6.47,5.2,29.7,0,1,0,5.2,7,6,18,58,2,4,16,6,0,0,"Provável",-0.12,5.2
"marcelo-alves",104050,"Marcelo Alves","267","zag",2.12,1.2,0.9,0,1,1.2,0,0,4,4,11,0,0,0,0,0,0,"Nulo",-0.69,1.2
"sabino",104075,"Sabino","294","zag",7.81,5.1,31.4,0,1,0,5.1,6,4,12,52,0,1,7,2,3,0,"Provável",0.88,5.1
"cleber",104125,"Cléber","354","ata",11.08,1.6,34,0,1,0,1.6,16,18,8,30,0,3,7,9,3,0,"Provável",-0.32,1.6
"joao-victor",104250,"João Victor","373","zag",1.23,-2.8,1.8,0,1,0,-2.8,0,6,7,12,0,0,1,0,0,0,"Provável",-0.61,-2.8
"calegari",104276,"Calegari","266","lat",5.3,8.1,21.5,0,1,8.1,0,2,6,20,30,0,1,12,1,0,0,"Provável",1.24,8.1
"rick",104459,"Rick","354","ata",0.77,-0.5,-1.3,0,1,0,-0.5,0,3,0,3,0,0,1,0,0,0,"Nulo",0.03,-0.5
"luiz-henrique",104526,"Luiz Henrique","294","mei",0.77,-0.2,0.2,0,1,0,-0.2,0,4,3,13,0,0,1,0,0,0,"Nulo",-0.27,-0.2
"igor-jesus",104528,"Igor Jesus","294","ata",2.51,2.2,10.4,0,1,0,2.2,6,11,5,27,0,3,19,4,0,0,"Provável",0.02,2.2
"darlan",104593,"Darlan","284","mei",5.58,6.7,12.2,0,1,0,6.7,2,4,7,11,0,0,2,1,1,0,"Provável",1.27,6.7
"vinicius",104660,"Vinícius","290","ata",3.8,8,18.5,0,1,8,0,7,9,7,9,0,0,8,2,1,0,"Provável",1.51,8
"wagner-leonardo",104994,"Wagner Leonardo","277","zag",2.19,2.9,2.9,0,1,2.9,0,0,0,3,1,0,0,0,0,0,0,"Nulo",0.19,2.9
"khellven",105175,"Khellven ","293","lat",4.13,-0.5,-1,0,1,-0.5,0,1,12,11,43,0,0,1,1,0,0,"Nulo",0.02,-0.5
"lucas-piton",105584,"Lucas Piton","264","lat",3.79,2.4,7.7,0,1,2.4,0,2,3,4,28,1,0,5,1,0,0,"Dúvida",-0.01,2.4
"talles-magno",105786,"Talles Magno","267","ata",10.13,1.2,37.8,0,1,1.2,0,6,9,18,30,2,1,22,3,1,0,"Provável",-1.11,1.2
"wesley",105811,"Wesley","275","ata",2.4,1.7,3,0,1,0,1.7,4,6,2,13,0,1,5,0,0,0,"Dúvida",0.02,1.7
"guilherme-azevedo",105837,"Guilherme Azevedo","284","ata",1.01,1.2,1.6,0,1,0,1.2,1,0,0,1,0,1,2,0,0,0,"Provável",0.15,1.2
"ivonei",105899,"Ivonei","277","mei",1.13,1.6,1.8,0,1,1.6,0,2,3,3,3,0,0,1,2,0,0,"Nulo",0.37,1.6
"edson",105901,"Edson","265","mei",1.62,2.3,6.3,0,1,2.3,0,1,0,4,0,0,0,3,1,0,0,"Dúvida",0.15,2.3
"ze-gabriel",105902,"Zé Gabriel","285","mei",2.31,1,6.4,0,1,1,0,1,10,12,29,0,0,6,1,0,0,"Nulo",0.44,1
"vinicius",105998,"Vinícius","267","ata",2.54,-1.9,-0.4,0,1,-1.9,0,1,2,0,6,0,0,3,0,0,0,"Nulo",-0.88,-1.9
"johnny",106002,"Johnny ","285","mei",2.55,3,7.3,0,1,3,0,1,1,7,15,0,0,3,1,0,0,"Nulo",0.61,3
"breno",106083,"Breno","290","mei",3.56,-1.7,11.6,0,1,-1.7,0,2,7,13,10,0,0,3,2,0,0,"Provável",-0.73,-1.7
"bruno-gomes",106202,"Bruno Gomes","267","mei",2.67,-3.6,4.7,0,1,-3.6,0,1,10,11,21,0,0,12,1,0,0,"Suspenso",-0.69,-3.6
"realpe",106299,"Realpe","Bragantino","zag",2.95,0,1.5,0,1,0,0,1,2,4,8,0,0,0,1,0,0,"Provável",-0.32,0
"caio-alexandre",106323,"Caio Alexandre","263","mei",5.54,2.8,17.2,0,1,0,2.8,4,10,13,32,0,1,14,3,1,0,"Provável",-0.07,2.8
"peglow",106821,"Peglow","285","mei",1.74,-1,4.1,0,1,-1,0,1,5,2,12,1,1,1,1,0,0,"Nulo",-0.33,-1
"luciano-juba",107093,"Luciano Juba","292","lat",1.93,5.4,5.9,0,1,0,5.4,1,9,9,56,1,0,1,0,0,0,"Dúvida",0.51,5.4
"patrick-de-paula",107172,"Patrick de Paula","275","mei",5.55,5,30.7,0,1,0,5,6,12,20,39,0,0,12,3,1,0,"Provável",0.29,5
"michel-araujo",107173,"Michel Araújo ","266","mei",6.51,1.4,30.3,0,1,1.4,0,11,18,20,41,0,1,33,7,0,0,"Provável",-0.16,1.4
"ignacio-jara",107318,"Ignacio Jara ","290","mei",2.93,8,8.2,0,1,8,0,2,3,0,5,0,0,2,0,1,0,"Nulo",1.71,8
"natanael",107554,"Natanael","294","lat",0.77,0,1.1,0,1,0,0,1,3,1,2,0,0,2,1,0,0,"Nulo",-0.09,0
"pintado",107565,"Pintado","290","lat",2.78,1.1,11.3,0,1,1.1,0,1,10,20,30,0,1,1,1,0,0,"Nulo",-0.31,1.1
"rildo",107798,"Rildo","284","mei",0.77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Nulo",-0.23,0
"alvarado",107991,"Alvarado","293","mei",4.24,1.9,2.6,0,1,1.9,0,0,2,4,4,0,0,0,0,0,0,"Nulo",0.23,1.9
"gabriel-lacerda",108176,"Gabriel Lacerda","354","zag",3.62,0.5,9.1,0,1,0,0.5,1,3,5,21,1,0,3,0,0,0,"Nulo",-0.58,0.5
"luiz-henrique",109282,"Luiz Henrique","266","ata",1.5,0.2,7.1,0,1,0.2,0,5,4,6,14,0,0,1,5,0,0,"Nulo",-0.48,0.2
"derick",109830,"Derick ","277","zag",0.77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Nulo",-0.23,0
